amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
1.767629757523536682e-02,1.681009769439697266e+00,1.119864106178283691e+00,3.986745300292968750e+02,1.733188232421875000e+03,3.525683656334877014e-03,-2.078857272863388062e-03,6.641958951950073242e-01,2.891290664672851562e+00,-2.078857272863388062e-03,1.239305711351335049e-03,-6.809786558151245117e-01,-3.344362497329711914e+00,6.641958951950073242e-01,-6.809786558151245117e-01,7.138264843750000000e+04,-3.624476562500000000e+04,2.891290664672851562e+00,-3.344362497329711914e+00,-3.624476562500000000e+04,7.965082500000000000e+05
2.885702624917030334e-02,1.998273611068725586e+00,9.555611610412597656e-01,6.081765747070312500e+01,5.193785400390625000e+02,2.852107398211956024e-03,-1.164888497442007065e-03,-2.875475883483886719e-01,1.639209687709808350e-01,-1.164888497442007065e-03,4.796139255631715059e-04,1.249534934759140015e-01,-4.460271447896957397e-02,-2.875475883483886719e-01,1.249534934759140015e-01,2.530469726562500000e+03,-4.146992675781250000e+03,1.639209687709808350e-01,-4.460271447896957397e-02,-4.146992675781250000e+03,1.399139062500000000e+05
3.394598513841629028e-02,1.508668899536132812e+00,1.235244631767272949e+00,5.429966735839843750e+01,1.200333984375000000e+03,1.963699935004115105e-03,-1.521241501905024052e-03,5.758149921894073486e-02,5.500616073608398438e+00,-1.521241501905024052e-03,1.186213456094264984e-03,-5.687775462865829468e-02,-4.135052680969238281e+00,5.758149921894073486e-02,-5.687775462865829468e-02,1.324340698242187500e+03,3.825885742187500000e+03,5.500616073608398438e+00,-4.135052680969238281e+00,3.825885742187500000e+03,3.741081250000000000e+05
4.839053750038146973e-02,1.671699762344360352e+00,1.121934890747070312e+00,5.211085205078125000e+02,3.497062683105468750e+02,2.228707773610949516e-03,-1.353587023913860321e-03,-2.049883365631103516e+00,-1.004831671714782715e+00,-1.353587023913860321e-03,8.284311043098568916e-04,1.209557771682739258e+00,5.515874624252319336e-01,-2.049883365631103516e+00,1.209557771682739258e+00,2.425906445312500000e+04,5.566930664062500000e+03,-1.004831671714782715e+00,5.515874624252319336e-01,5.566930664062500000e+03,5.000519140625000000e+04
4.056487232446670532e-02,1.705679893493652344e+00,1.100435137748718262e+00,8.190354919433593750e+01,1.718205078125000000e+03,2.289954805746674538e-03,-1.330306869931519032e-03,3.880450725555419922e-01,4.471748828887939453e+00,-1.330306869931519032e-03,7.755627157166600227e-04,-2.178313732147216797e-01,-2.509804010391235352e+00,3.880450725555419922e-01,-2.178313732147216797e-01,2.588121582031250000e+03,-8.224105468750000000e+03,4.471748828887939453e+00,-2.509804010391235352e+00,-8.224105468750000000e+03,5.887213750000000000e+05
4.198342934250831604e-02,1.486891984939575195e+00,1.251563549041748047e+00,3.625973815917968750e+02,1.088807861328125000e+03,1.135035767219960690e-03,-9.345146245323121548e-04,-2.263188362121582031e+00,3.999019384384155273e+00,-9.345146245323121548e-04,7.731111254543066025e-04,1.872706651687622070e+00,-3.350824356079101562e+00,-2.263188362121582031e+00,1.872706651687622070e+00,3.025523046875000000e+04,-4.146571875000000000e+04,3.999019384384155273e+00,-3.350824356079101562e+00,-4.146571875000000000e+04,2.653695000000000000e+05
1.662804745137691498e-02,2.215137243270874023e+00,8.766483068466186523e-01,3.669396972656250000e+01,6.240896606445312500e+02,7.159834261983633041e-03,-2.255516126751899719e-03,6.990516930818557739e-02,-2.854058027267456055e+00,-2.255516126751899719e-03,7.165347342379391193e-04,-2.383187599480152130e-02,1.033387064933776855e+00,6.990516930818557739e-02,-2.383187599480152130e-02,1.657216796875000000e+03,-3.933700927734375000e+03,-2.854058027267456055e+00,1.033387064933776855e+00,-3.933700927734375000e+03,2.271633906250000000e+05
1.096430569887161255e-01,1.667265892028808594e+00,1.124254941940307617e+00,1.490891723632812500e+02,2.763035888671875000e+02,1.749800285324454308e-03,-1.094184466637670994e-03,-5.675297975540161133e-01,8.880235254764556885e-02,-1.094184466637670994e-03,6.911577656865119934e-04,3.549972176551818848e-01,-9.076225757598876953e-02,-5.675297975540161133e-01,3.549972176551818848e-01,4.626536621093750000e+03,-3.513473388671875000e+03,8.880235254764556885e-02,-9.076225757598876953e-02,-3.513473388671875000e+03,3.110117773437500000e+04
3.213354572653770447e-02,1.809603214263916016e+00,1.044788360595703125e+00,1.945926513671875000e+02,3.758799743652343750e+02,3.975127823650836945e-03,-2.033800352364778519e-03,-1.244415521621704102e+00,-4.004412651062011719e+00,-2.033800352364778519e-03,1.045758952386677265e-03,5.052167177200317383e-01,2.123663902282714844e+00,-1.244415521621704102e+00,5.052167177200317383e-01,1.279183398437500000e+04,1.759044189453125000e+03,-4.004412651062011719e+00,2.123663902282714844e+00,1.759044189453125000e+03,6.158858203125000000e+04
6.746581196784973145e-02,1.536229610443115234e+00,1.214626193046569824e+00,1.424734344482421875e+02,3.928665771484375000e+02,1.839213306084275246e-03,-1.365790143609046936e-03,-2.350250780582427979e-01,3.308027386665344238e-01,-1.365790143609046936e-03,1.023243064992129803e-03,1.881298124790191650e-01,-2.352467775344848633e-01,-2.350250780582427979e-01,1.881298124790191650e-01,6.252525390625000000e+03,-4.982250976562500000e+03,3.308027386665344238e-01,-2.352467775344848633e-01,-4.982250976562500000e+03,2.768491601562500000e+04
