amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
6.012994796037673950e-02,1.722955703735351562e+00,1.582585096359252930e+00,1.892172851562500000e+02,5.888081054687500000e+02,1.374873449094593525e-03,-7.011889829300343990e-04,-6.787958145141601562e-01,-5.198121070861816406e-01,-7.011889829300343990e-04,1.024571247398853302e-03,5.338228940963745117e-01,-3.789669275283813477e-01,-6.787958145141601562e-01,5.338228940963745117e-01,6.585178710937500000e+03,8.864224609375000000e+03,-5.198121070861816406e-01,-3.789669275283813477e-01,8.864224609375000000e+03,7.113335937500000000e+04
1.868836954236030579e-02,1.689251542091369629e+00,1.606673240661621094e+00,1.529502075195312500e+03,1.618398193359375000e+03,7.660770206712186337e-04,-1.886315003503113985e-04,-3.858762264251708984e+00,-4.797848463058471680e-01,-1.886315003503113985e-04,6.448006024584174156e-04,3.396339654922485352e+00,3.142268657684326172e+00,-3.858762264251708984e+00,3.396339654922485352e+00,3.876559375000000000e+05,-1.237435000000000000e+05,-4.797848463058471680e-01,3.142268657684326172e+00,-1.237435000000000000e+05,4.911734687500000000e+05
6.774349603801965714e-04,2.040939807891845703e+00,1.351241469383239746e+00,3.615499572753906250e+02,9.073933715820312500e+02,2.779063070192933083e-04,-1.991367607843130827e-04,2.470314204692840576e-01,3.691223263740539551e-02,-1.991367607843130827e-04,3.119348548352718353e-04,1.904793739318847656e+00,2.068351507186889648e+00,2.470314204692840576e-01,1.904793739318847656e+00,4.111811328125000000e+04,1.844009765625000000e+04,3.691223263740539551e-02,2.068351507186889648e+00,1.844009765625000000e+04,6.394165625000000000e+04
1.855958439409732819e-02,1.825819492340087891e+00,1.490315198898315430e+00,2.392022094726562500e+02,2.497408203125000000e+03,6.448574829846620560e-03,-4.354878794401884079e-03,2.106871128082275391e+00,-1.929633712768554688e+01,-4.354878794401884079e-03,3.606036538258194923e-03,-2.213123559951782227e+00,1.401238250732421875e+01,2.106871128082275391e+00,-2.213123559951782227e+00,1.783412304687500000e+04,-3.251438476562500000e+04,-1.929633712768554688e+01,1.401238250732421875e+01,-3.251438476562500000e+04,1.083865125000000000e+06
6.751186400651931763e-02,1.812101125717163086e+00,1.506026625633239746e+00,1.783314819335937500e+02,1.001029785156250000e+03,6.041672080755233765e-03,-4.329688847064971924e-03,4.287725090980529785e-01,-1.146923065185546875e+01,-4.329688847064971924e-03,3.799440339207649231e-03,-2.877660393714904785e-01,9.433921813964843750e+00,4.287725090980529785e-01,-2.877660393714904785e-01,5.127329589843750000e+03,3.411063964843750000e+03,-1.146923065185546875e+01,9.433921813964843750e+00,3.411063964843750000e+03,1.478043437500000000e+05
9.488211013376712799e-03,1.658450841903686523e+00,1.636228919029235840e+00,6.773515625000000000e+02,1.260523803710937500e+03,2.486683079041540623e-04,1.974125043489038944e-04,-2.315031886100769043e-01,-8.343359231948852539e-01,1.974125043489038944e-04,2.954999799840152264e-04,-3.986620903015136719e-01,-6.538158655166625977e-01,-2.315031886100769043e-01,-3.986620903015136719e-01,1.005904765625000000e+05,-4.950969921875000000e+04,-8.343359231948852539e-01,-6.538158655166625977e-01,-4.950969921875000000e+04,4.130333750000000000e+05
2.880814112722873688e-02,1.755199432373046875e+00,1.557384490966796875e+00,1.025240112304687500e+03,4.263275146484375000e+02,2.430661348626017570e-03,-1.448184135369956493e-03,-1.741254091262817383e+00,-9.437138438224792480e-01,-1.448184135369956493e-03,1.734999474138021469e-03,2.333233654499053955e-01,1.296858072280883789e+00,-1.741254091262817383e+00,2.333233654499053955e-01,1.075275625000000000e+05,-2.097894726562500000e+04,-9.437138438224792480e-01,1.296858072280883789e+00,-2.097894726562500000e+04,3.432931250000000000e+04
7.353466935455799103e-03,1.711686015129089355e+00,1.593336582183837891e+00,2.177145507812500000e+03,1.985115966796875000e+02,1.118926797062158585e-03,-5.730960983783006668e-04,-4.493600845336914062e+00,2.704899525269865990e-03,-5.730960983783006668e-04,1.185727887786924839e-03,2.344941616058349609e+00,3.359842300415039062e-02,-4.493600845336914062e+00,2.344941616058349609e+00,6.080181875000000000e+05,8.158543945312500000e+03,2.704899525269865990e-03,3.359842300415039062e-02,8.158543945312500000e+03,1.365466894531250000e+04
1.395197585225105286e-02,1.654200553894042969e+00,1.646447300910949707e+00,5.262160034179687500e+02,2.946303710937500000e+02,2.267270028823986650e-04,2.137086703442037106e-04,-4.266837239265441895e-02,8.662513643503189087e-02,2.137086703442037106e-04,2.224079798907041550e-04,-2.490573376417160034e-01,1.467104703187942505e-01,-4.266837239265441895e-02,-2.490573376417160034e-01,7.955693750000000000e+04,5.756779785156250000e+02,8.662513643503189087e-02,1.467104703187942505e-01,5.756779785156250000e+02,2.849124023437500000e+04
2.364335954189300537e-02,1.659119129180908203e+00,1.639070272445678711e+00,2.398549194335937500e+02,5.824328613281250000e+02,2.315708406968042254e-04,1.725393813103437424e-04,2.151454091072082520e-01,-8.395814895629882812e-02,1.725393813103437424e-04,2.365575492149218917e-04,-5.386686325073242188e-02,6.318588256835937500e-01,2.151454091072082520e-01,-5.386686325073242188e-02,1.782146093750000000e+04,-3.804484863281250000e+03,-8.395814895629882812e-02,6.318588256835937500e-01,-3.804484863281250000e+03,8.728909375000000000e+04
