amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.347977831959724426e-02,1.700052261352539062e+00,1.602246880531311035e+00,2.152342529296875000e+03,7.998572998046875000e+02,1.164265908300876617e-03,-5.689680110663175583e-04,-3.062479972839355469e+00,5.030736923217773438e-01,-5.689680110663175583e-04,8.759974734857678413e-04,1.839586257934570312e+00,-1.928271055221557617e+00,-3.062479972839355469e+00,1.839586257934570312e+00,1.233612625000000000e+06,-1.731488750000000000e+05,5.030736923217773438e-01,-1.928271055221557617e+00,-1.731488750000000000e+05,1.997699531250000000e+05
6.114315241575241089e-02,2.006048679351806641e+00,1.376935482025146484e+00,2.593003540039062500e+02,1.102066894531250000e+03,2.233197912573814392e-02,-1.351341232657432556e-02,2.930626869201660156e+00,-2.304485321044921875e+01,-1.351341232657432556e-02,8.752476423978805542e-03,-1.577298998832702637e+00,1.338173294067382812e+01,2.930626869201660156e+00,-1.577298998832702637e+00,1.568210253906250000e+04,-2.555440234375000000e+04,-2.304485321044921875e+01,1.338173294067382812e+01,-2.555440234375000000e+04,2.369283593750000000e+05
4.300906136631965637e-02,1.737560033798217773e+00,1.572530984878540039e+00,6.282922973632812500e+02,1.934868164062500000e+02,2.925583627074956894e-03,-2.264036331325769424e-03,-3.874844312667846680e-01,2.550899386405944824e-01,-2.264036331325769424e-03,2.509991405531764030e-03,-4.494181275367736816e-01,-5.783007144927978516e-01,-3.874844312667846680e-01,-4.494181275367736816e-01,9.797412500000000000e+04,-5.657520507812500000e+03,2.550899386405944824e-01,-5.783007144927978516e-01,-5.657520507812500000e+03,1.477592578125000000e+04
3.618174791336059570e-02,1.898389577865600586e+00,1.443612813949584961e+00,3.296464233398437500e+02,8.763964843750000000e+01,1.616067998111248016e-02,-1.112365536391735077e-02,-2.303518772125244141e+00,8.794121742248535156e-01,-1.112365536391735077e-02,8.191849105060100555e-03,1.905816555023193359e+00,-6.537985801696777344e-01,-2.303518772125244141e+00,1.905816555023193359e+00,3.174895117187500000e+04,-8.439637451171875000e+02,8.794121742248535156e-01,-6.537985801696777344e-01,-8.439637451171875000e+02,3.166142578125000000e+03
2.836172841489315033e-02,2.206604480743408203e+00,1.261003136634826660e+00,7.731805419921875000e+01,4.034018798828125000e+03,2.831463515758514404e-02,-1.438734587281942368e-02,1.579884052276611328e+00,5.078185081481933594e+00,-1.438734587281942368e-02,7.754576858133077621e-03,-7.674870491027832031e-01,-1.296686291694641113e+00,1.579884052276611328e+00,-7.674870491027832031e-01,1.925677490234375000e+03,-2.509718750000000000e+04,5.078185081481933594e+00,-1.296686291694641113e+00,-2.509718750000000000e+04,3.934239250000000000e+06
6.729567795991897583e-02,1.830388307571411133e+00,1.494727134704589844e+00,3.733176269531250000e+02,5.316964111328125000e+02,8.196654729545116425e-03,-6.093274801969528198e-03,-2.861565351486206055e+00,-3.250431060791015625e+00,-6.093274801969528198e-03,5.134943407028913498e-03,1.612800359725952148e+00,1.518851995468139648e+00,-2.861565351486206055e+00,1.612800359725952148e+00,3.467346484375000000e+04,7.831434570312500000e+03,-3.250431060791015625e+00,1.518851995468139648e+00,7.831434570312500000e+03,5.881996484375000000e+04
5.368349142372608185e-03,2.878934860229492188e+00,9.945403337478637695e-01,8.400732421875000000e+01,7.389725585937500000e+03,5.652129650115966797e-03,-1.077200053259730339e-03,-8.181136846542358398e-01,4.120641326904296875e+01,-1.077200053259730339e-03,3.815476084128022194e-04,1.965494751930236816e-01,-6.134151458740234375e+00,-8.181136846542358398e-01,1.965494751930236816e-01,2.619153320312500000e+03,-1.496229101562500000e+04,4.120641326904296875e+01,-6.134151458740234375e+00,-1.496229101562500000e+04,2.273482500000000000e+06
2.992727234959602356e-02,2.185940742492675781e+00,1.270897388458251953e+00,2.655407714843750000e+01,1.304159790039062500e+03,3.052063286304473877e-02,-1.523563079535961151e-02,-2.053624019026756287e-02,-1.140460777282714844e+01,-1.523563079535961151e-02,8.002133108675479889e-03,3.239013999700546265e-02,3.607487916946411133e+00,-2.053624019026756287e-02,3.239013999700546265e-02,2.626582946777343750e+02,3.194807739257812500e+02,-1.140460777282714844e+01,3.607487916946411133e+00,3.194807739257812500e+02,5.195078437500000000e+05
5.941904336214065552e-02,1.929156184196472168e+00,1.425599336624145508e+00,7.677923583984375000e+01,7.141602783203125000e+02,1.952707953751087189e-02,-1.296459324657917023e-02,9.963899850845336914e-01,4.827730655670166016e+00,-1.296459324657917023e-02,9.163497947156429291e-03,-7.022298574447631836e-01,-2.872157096862792969e+00,9.963899850845336914e-01,-7.022298574447631836e-01,1.994063598632812500e+03,-3.985929489135742188e+01,4.827730655670166016e+00,-2.872157096862792969e+00,-3.985929489135742188e+01,1.332763281250000000e+05
4.907626658678054810e-02,2.143529176712036133e+00,1.294425249099731445e+00,1.849620666503906250e+02,3.069964599609375000e+02,2.667176909744739532e-02,-1.379617862403392792e-02,-1.451638221740722656e+00,-3.118511438369750977e+00,-1.379617862403392792e-02,7.571988273411989212e-03,8.657152056694030762e-01,1.472951769828796387e+00,-1.451638221740722656e+00,8.657152056694030762e-01,8.732069335937500000e+03,1.187897583007812500e+03,-3.118511438369750977e+00,1.472951769828796387e+00,1.187897583007812500e+03,3.273679687500000000e+04
2.658362314105033875e-02,1.981075048446655273e+00,1.390559077262878418e+00,1.046698364257812500e+03,2.463806152343750000e+02,2.013772353529930115e-02,-1.232482865452766418e-02,-3.463469743728637695e-01,1.245188474655151367e+00,-1.232482865452766418e-02,8.111490868031978607e-03,2.916516065597534180e-01,-8.737586736679077148e-01,-3.463469743728637695e-01,2.916516065597534180e-01,2.340427031250000000e+05,-1.486974023437500000e+04,1.245188474655151367e+00,-8.737586736679077148e-01,-1.486974023437500000e+04,2.126313671875000000e+04
6.882776506245136261e-03,2.245425939559936523e+00,1.240126848220825195e+00,2.316398193359375000e+03,5.053735839843750000e+03,3.434679657220840454e-02,-1.603398844599723816e-02,-3.511063766479492188e+01,-4.702738189697265625e+01,-1.603398844599723816e-02,7.887066341936588287e-03,1.757220840454101562e+01,2.000341415405273438e+01,-3.511063766479492188e+01,1.757220840454101562e+01,8.141354375000000000e+05,-4.846400312500000000e+05,-4.702738189697265625e+01,2.000341415405273438e+01,-4.846400312500000000e+05,8.022785000000000000e+06
6.825407594442367554e-02,2.024261713027954102e+00,1.360250949859619141e+00,8.158214721679687500e+02,2.171394287109375000e+03,1.844917051494121552e-02,-1.080605946481227875e-02,-1.370161533355712891e+01,2.153906250000000000e+01,-1.080605946481227875e-02,6.866852287203073502e-03,8.033205032348632812e+00,-1.426342773437500000e+01,-1.370161533355712891e+01,8.033205032348632812e+00,1.146539453125000000e+05,-8.266654687500000000e+04,2.153906250000000000e+01,-1.426342773437500000e+01,-8.266654687500000000e+04,8.149670000000000000e+05
3.042204678058624268e-02,1.869289278984069824e+00,1.466917157173156738e+00,1.325660705566406250e+02,3.155300537109375000e+03,1.387857086956501007e-02,-9.888097643852233887e-03,3.461359500885009766e+00,1.617510223388671875e+01,-9.888097643852233887e-03,7.691586855798959732e-03,-2.566726684570312500e+00,-1.739985275268554688e+01,3.461359500885009766e+00,-2.566726684570312500e+00,5.633678222656250000e+03,3.245784179687500000e+03,1.617510223388671875e+01,-1.739985275268554688e+01,3.245784179687500000e+03,2.255827000000000000e+06
4.115016013383865356e-02,1.749928474426269531e+00,1.559178471565246582e+00,9.177435302734375000e+02,2.165227050781250000e+03,2.402216428890824318e-03,-1.655517611652612686e-03,1.469936847686767578e+00,-1.580346971750259399e-01,-1.655517611652612686e-03,1.749041141010820866e-03,-2.509150505065917969e+00,-1.435393452644348145e+00,1.469936847686767578e+00,-2.509150505065917969e+00,2.002295000000000000e+05,1.687120703125000000e+04,-1.580346971750259399e-01,-1.435393452644348145e+00,1.687120703125000000e+04,1.058948500000000000e+06
1.621257700026035309e-02,1.669248223304748535e+00,1.632238149642944336e+00,1.033385986328125000e+03,2.023911132812500000e+03,3.404874296393245459e-04,9.064302139449864626e-05,-5.039873719215393066e-02,-7.556622028350830078e-01,9.064302139449864626e-05,3.552719135768711567e-04,9.944433569908142090e-01,-1.329798936843872070e+00,-5.039873719215393066e-02,9.944433569908142090e-01,3.017318125000000000e+05,-3.671555175781250000e+03,-7.556622028350830078e-01,-1.329798936843872070e+00,-3.671555175781250000e+03,1.440950250000000000e+06
1.356319617480039597e-02,1.822437763214111328e+00,1.497558593750000000e+00,2.010709960937500000e+03,4.964291503906250000e+03,1.164392009377479553e-02,-8.243666961789131165e-03,-7.923842430114746094e+00,-2.853812789916992188e+01,-8.243666961789131165e-03,6.512965075671672821e-03,3.641326427459716797e+00,2.311594390869140625e+01,-7.923842430114746094e+00,3.641326427459716797e+00,8.125995625000000000e+05,5.426144531250000000e+03,-2.853812789916992188e+01,2.311594390869140625e+01,5.426144531250000000e+03,4.545721500000000000e+06
3.561801835894584656e-02,2.436024188995361328e+00,1.159436225891113281e+00,1.136650085449218750e+02,1.099958007812500000e+03,4.883383959531784058e-02,-1.898661628365516663e-02,-2.870662689208984375e+00,-4.404066467285156250e+01,-1.898661628365516663e-02,7.679819129407405853e-03,1.257514476776123047e+00,1.667890548706054688e+01,-2.870662689208984375e+00,1.257514476776123047e+00,3.765327392578125000e+03,4.456120117187500000e+03,-4.404066467285156250e+01,1.667890548706054688e+01,4.456120117187500000e+03,3.760775625000000000e+05
3.639790788292884827e-02,1.816106319427490234e+00,1.503618955612182617e+00,1.563548339843750000e+03,6.230264892578125000e+02,7.380511611700057983e-03,-5.205542780458927155e-03,7.296109199523925781e-01,5.652098178863525391e+00,-5.205542780458927155e-03,4.280591383576393127e-03,-2.791156053543090820e+00,-3.967955589294433594e+00,7.296109199523925781e-01,-2.791156053543090820e+00,4.580659062500000000e+05,-1.248777187500000000e+05,5.652098178863525391e+00,-3.967955589294433594e+00,-1.248777187500000000e+05,1.234263125000000000e+05
2.614756813272833824e-03,1.884338140487670898e+00,1.461374163627624512e+00,4.445378906250000000e+03,3.095301269531250000e+03,2.219311520457267761e-02,-1.553350314497947693e-02,-9.101387977600097656e+00,-7.680589294433593750e+01,-1.553350314497947693e-02,1.162903849035501480e-02,5.311124801635742188e+00,5.440146636962890625e+01,-9.101387977600097656e+00,5.311124801635742188e+00,1.090672343750000000e+05,3.291019531250000000e+04,-7.680589294433593750e+01,5.440146636962890625e+01,3.291019531250000000e+04,2.765046250000000000e+06
