amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
3.563682362437248230e-02,2.190324306488037109e+00,1.261934518814086914e+00,3.435589599609375000e+02,4.848798828125000000e+03,1.928522065281867981e-02,-9.519609622657299042e-03,2.519888877868652344e+00,-2.583923721313476562e+01,-9.519609622657299042e-03,5.078319460153579712e-03,-1.411835432052612305e+00,1.657409477233886719e+01,2.519888877868652344e+00,-1.411835432052612305e+00,2.311480859375000000e+04,-7.521459375000000000e+04,-2.583923721313476562e+01,1.657409477233886719e+01,-7.521459375000000000e+04,3.779053250000000000e+06
5.336102098226547241e-02,1.827291965484619141e+00,1.499035239219665527e+00,1.037566894531250000e+03,2.213161132812500000e+03,8.798436261713504791e-03,-6.505271419882774353e-03,6.542730331420898438e+00,-7.171639204025268555e-01,-6.505271419882774353e-03,5.456149112433195114e-03,-7.244304656982421875e+00,-3.050563335418701172e+00,6.542730331420898438e+00,-7.244304656982421875e+00,2.161837656250000000e+05,1.057799687500000000e+05,-7.171639204025268555e-01,-3.050563335418701172e+00,1.057799687500000000e+05,9.089205625000000000e+05
2.558111026883125305e-02,1.806571841239929199e+00,1.506698012351989746e+00,2.412274414062500000e+03,1.313447753906250000e+03,7.013252936303615570e-03,-5.190468858927488327e-03,-1.379355812072753906e+01,7.971508502960205078e+00,-5.190468858927488327e-03,4.406217485666275024e-03,1.089791107177734375e+01,-6.483852386474609375e+00,-1.379355812072753906e+01,1.089791107177734375e+01,8.946741875000000000e+05,-2.656717187500000000e+05,7.971508502960205078e+00,-6.483852386474609375e+00,-2.656717187500000000e+05,4.282836250000000000e+05
3.903124481439590454e-03,1.880671739578247070e+00,1.456987977027893066e+00,2.019683959960937500e+03,8.361066406250000000e+03,1.663511432707309723e-02,-1.171335205435752869e-02,1.143144130706787109e+01,-3.814926147460937500e+00,-1.171335205435752869e-02,9.002780541777610779e-03,-9.000633239746093750e+00,3.764711380004882812e+00,1.143144130706787109e+01,-9.000633239746093750e+00,1.058480000000000000e+06,-3.466487500000000000e+05,-3.814926147460937500e+00,3.764711380004882812e+00,-3.466487500000000000e+05,1.028544250000000000e+06
6.377522367984056473e-03,2.895471096038818359e+00,9.991647005081176758e-01,1.958163757324218750e+02,3.795056640625000000e+03,4.627774935215711594e-03,-1.092016464099287987e-03,-1.148569822311401367e+00,1.045483207702636719e+01,-1.092016464099287987e-03,4.508757847361266613e-04,3.534938395023345947e-02,-3.285386323928833008e+00,-1.148569822311401367e+00,3.534938395023345947e-02,2.045109765625000000e+04,7.221846875000000000e+04,1.045483207702636719e+01,-3.285386323928833008e+00,7.221846875000000000e+04,4.634143000000000000e+06
5.377271398901939392e-02,2.172034740447998047e+00,1.278187751770019531e+00,2.012956237792968750e+02,1.092803955078125000e+03,2.628359571099281311e-02,-1.352854073047637939e-02,1.573308467864990234e+00,-2.947092628479003906e+01,-1.352854073047637939e-02,7.368393242359161377e-03,-7.781780362129211426e-01,1.469020462036132812e+01,1.573308467864990234e+00,-7.781780362129211426e-01,9.621033203125000000e+03,-2.189905273437500000e+04,-2.947092628479003906e+01,1.469020462036132812e+01,-2.189905273437500000e+04,3.366869375000000000e+05
1.906583458185195923e-02,1.878858447074890137e+00,1.464975833892822266e+00,2.543248046875000000e+03,3.459353027343750000e+03,1.990284956991672516e-02,-1.409109123051166534e-02,-1.693659782409667969e+01,-7.249903869628906250e+01,-1.409109123051166534e-02,1.064186450093984604e-02,1.023359870910644531e+01,4.832974243164062500e+01,-1.693659782409667969e+01,1.023359870910644531e+01,1.177186375000000000e+06,-1.021404375000000000e+05,-7.249903869628906250e+01,4.832974243164062500e+01,-1.021404375000000000e+05,2.681220500000000000e+06
6.029376015067100525e-02,2.473694801330566406e+00,1.143020868301391602e+00,2.141023864746093750e+02,3.496750000000000000e+03,1.567952893674373627e-02,-5.730509757995605469e-03,-2.783412858843803406e-02,2.505425643920898438e+01,-5.730509757995605469e-03,2.418767660856246948e-03,2.313835620880126953e-01,-1.352910995483398438e+01,-2.783412858843803406e-02,2.313835620880126953e-01,1.057284960937500000e+04,5.049979687500000000e+04,2.505425643920898438e+01,-1.352910995483398438e+01,5.049979687500000000e+04,2.363597000000000000e+06
1.404937822371721268e-02,2.433145523071289062e+00,1.162368535995483398e+00,1.316663208007812500e+02,6.852909179687500000e+03,3.743954934179782867e-03,-1.275382703170180321e-03,-2.974662780761718750e-01,1.045098495483398438e+01,-1.275382703170180321e-03,7.926477701403200626e-04,1.686794161796569824e-01,-1.165203666687011719e+01,-2.974662780761718750e-01,1.686794161796569824e-01,5.051349121093750000e+03,-1.871807421875000000e+04,1.045098495483398438e+01,-1.165203666687011719e+01,-1.871807421875000000e+04,1.138427875000000000e+06
4.299629479646682739e-02,2.029457092285156250e+00,1.360224604606628418e+00,9.196748046875000000e+02,1.182869140625000000e+03,2.011258155107498169e-02,-1.173526234924793243e-02,4.604771137237548828e+00,-3.505123138427734375e+01,-1.173526234924793243e-02,7.348337676376104355e-03,-2.224781990051269531e+00,2.000847244262695312e+01,4.604771137237548828e+00,-2.224781990051269531e+00,1.585946406250000000e+05,4.366179687500000000e+03,-3.505123138427734375e+01,2.000847244262695312e+01,4.366179687500000000e+03,3.319586875000000000e+05
