amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.571398578584194183e-02,1.382205843925476074e+00,1.344270706176757812e+00,2.913539428710937500e+02,1.739048461914062500e+02,1.311250234721228480e-04,-1.261345751117914915e-04,9.852528572082519531e-02,1.157792136073112488e-01,-1.261345751117914915e-04,1.271830551559105515e-04,-5.464964359998703003e-02,-3.847525268793106079e-02,9.852528572082519531e-02,-5.464964359998703003e-02,1.357259667968750000e+04,-1.555050170898437500e+03,1.157792136073112488e-01,-3.847525268793106079e-02,-1.555050170898437500e+03,7.444283691406250000e+03
1.445472612977027893e-02,1.416094541549682617e+00,1.319906949996948242e+00,4.922289733886718750e+02,8.893111572265625000e+02,6.515382556244730949e-04,-5.190902156755328178e-04,-5.145097732543945312e+00,-8.907558023929595947e-02,-5.190902156755328178e-04,4.190157633274793625e-04,4.087248802185058594e+00,3.940132260322570801e-02,-5.145097732543945312e+00,4.087248802185058594e+00,4.942645312500000000e+04,-6.255002212524414062e+01,-8.907558023929595947e-02,3.940132260322570801e-02,-6.255002212524414062e+01,1.856815468750000000e+05
6.064869090914726257e-02,1.626612067222595215e+00,1.152383089065551758e+00,6.484030151367187500e+01,5.201375122070312500e+02,1.784277148544788361e-03,-1.167081529274582863e-03,2.684156596660614014e-01,-2.630364418029785156e+00,-1.167081529274582863e-03,7.750446093268692493e-04,-1.725681722164154053e-01,1.645306110382080078e+00,2.684156596660614014e-01,-1.725681722164154053e-01,1.929026245117187500e+03,-3.815707519531250000e+03,-2.630364418029785156e+00,1.645306110382080078e+00,-3.815707519531250000e+03,6.311017578125000000e+04
3.987865895032882690e-02,1.436618089675903320e+00,1.298604488372802734e+00,6.629603271484375000e+02,4.495080261230468750e+02,1.504527637735009193e-03,-1.312106382101774216e-03,7.851029634475708008e-01,-4.000655651092529297e+00,-1.312106382101774216e-03,1.159992185421288013e-03,-4.702715277671813965e-01,3.813944816589355469e+00,7.851029634475708008e-01,-4.702715277671813965e-01,2.973219921875000000e+04,-8.254900390625000000e+03,-4.000655651092529297e+00,3.813944816589355469e+00,-8.254900390625000000e+03,3.532003125000000000e+04
2.197550050914287567e-02,1.619022965431213379e+00,1.157851219177246094e+00,2.981946105957031250e+02,1.248232666015625000e+03,2.472624182701110840e-03,-1.673926366493105888e-03,-1.665397167205810547e+00,-9.035702705383300781e+00,-1.673926366493105888e-03,1.143496250733733177e-03,1.038547515869140625e+00,6.006080627441406250e+00,-1.665397167205810547e+00,1.038547515869140625e+00,2.066202343750000000e+04,4.356573486328125000e+02,-9.035702705383300781e+00,6.006080627441406250e+00,4.356573486328125000e+02,1.680512500000000000e+05
1.526187639683485031e-02,1.435304522514343262e+00,1.296106815338134766e+00,4.021951293945312500e+01,1.253692993164062500e+03,1.145065412856638432e-03,-1.008442603051662445e-03,-2.090781927108764648e-01,5.444576740264892578e-01,-1.008442603051662445e-03,8.939327672123908997e-04,1.567668318748474121e-01,-4.117272794246673584e-01,-2.090781927108764648e-01,1.567668318748474121e-01,7.127864990234375000e+02,7.562897460937500000e+03,5.444576740264892578e-01,-4.117272794246673584e-01,7.562897460937500000e+03,1.742287031250000000e+05
1.313961576670408249e-02,1.416337847709655762e+00,1.316982150077819824e+00,1.769716949462890625e+02,1.167795898437500000e+03,3.420903522055596113e-04,-3.914620610885322094e-04,1.398721218109130859e+00,3.162905216217041016e+00,-3.914620610885322094e-04,4.538519133348017931e-04,-1.518664360046386719e+00,-4.104722023010253906e+00,1.398721218109130859e+00,-1.518664360046386719e+00,1.236933007812500000e+04,-5.895526367187500000e+03,3.162905216217041016e+00,-4.104722023010253906e+00,-5.895526367187500000e+03,2.553545937500000000e+05
5.264979228377342224e-02,1.544011592864990234e+00,1.207031846046447754e+00,2.609523315429687500e+02,8.819293212890625000e+02,1.379379420541226864e-03,-1.024821540340781212e-03,-4.353320002555847168e-01,-1.316471397876739502e-01,-1.024821540340781212e-03,7.635724032297730446e-04,3.240552544593811035e-01,2.350044548511505127e-01,-4.353320002555847168e-01,3.240552544593811035e-01,1.911134960937500000e+04,-2.519163281250000000e+04,-1.316471397876739502e-01,2.350044548511505127e-01,-2.519163281250000000e+04,1.839870625000000000e+05
1.895245537161827087e-02,1.488535046577453613e+00,1.253285288810729980e+00,7.328972167968750000e+02,1.002785400390625000e+03,1.834320835769176483e-03,-1.466949936002492905e-03,-2.187343597412109375e+00,2.401449680328369141e+00,-1.466949936002492905e-03,1.184888998977839947e-03,1.461779832839965820e+00,-1.477936029434204102e+00,-2.187343597412109375e+00,1.461779832839965820e+00,5.609132031250000000e+04,-7.467915625000000000e+04,2.401449680328369141e+00,-1.477936029434204102e+00,-7.467915625000000000e+04,1.191706875000000000e+05
5.470464006066322327e-02,1.470887660980224609e+00,1.269035577774047852e+00,7.090797729492187500e+02,1.595097045898437500e+02,1.819630502723157406e-03,-1.507640467025339603e-03,-5.662099838256835938e+00,5.118379592895507812e-01,-1.507640467025339603e-03,1.264526625163853168e-03,4.421910285949707031e+00,-3.404678702354431152e-01,-5.662099838256835938e+00,4.421910285949707031e+00,1.086759296875000000e+05,-1.330375585937500000e+04,5.118379592895507812e-01,-3.404678702354431152e-01,-1.330375585937500000e+04,8.765967773437500000e+03
2.520296350121498108e-02,1.400711894035339355e+00,1.330081582069396973e+00,4.062925720214843750e+02,6.319140625000000000e+01,3.379671252332627773e-04,-3.208111447747796774e-04,-6.105164289474487305e-01,2.998810261487960815e-02,-3.208111447747796774e-04,3.216279728803783655e-04,3.845822215080261230e-01,9.321391698904335499e-04,-6.105164289474487305e-01,3.845822215080261230e-01,1.679143359375000000e+04,8.280407714843750000e+02,2.998810261487960815e-02,9.321391698904335499e-04,8.280407714843750000e+02,1.582132446289062500e+03
7.213101536035537720e-02,1.441110372543334961e+00,1.289936065673828125e+00,5.599815673828125000e+02,6.410256958007812500e+02,9.771215263754129410e-04,-8.580031571909785271e-04,4.727152884006500244e-01,-2.479817628860473633e+00,-8.580031571909785271e-04,7.561283418908715248e-04,-3.517538309097290039e-01,2.234207630157470703e+00,4.727152884006500244e-01,-3.517538309097290039e-01,6.433390625000000000e+04,-3.176901953125000000e+04,-2.479817628860473633e+00,2.234207630157470703e+00,-3.176901953125000000e+04,8.687685156250000000e+04
4.440020769834518433e-02,1.408219099044799805e+00,1.324030876159667969e+00,1.393233337402343750e+02,3.583017578125000000e+02,6.787805468775331974e-04,-5.870186723768711090e-04,9.076861143112182617e-01,-1.130533695220947266e+00,-5.870186723768711090e-04,5.192162352614104748e-04,-8.147629499435424805e-01,1.094001650810241699e+00,9.076861143112182617e-01,-8.147629499435424805e-01,7.958836914062500000e+03,-6.319485839843750000e+03,-1.130533695220947266e+00,1.094001650810241699e+00,-6.319485839843750000e+03,1.908075000000000000e+04
4.415516927838325500e-02,1.494537711143493652e+00,1.248159646987915039e+00,2.919056396484375000e+02,7.645916748046875000e+01,1.197733450680971146e-03,-9.619214106351137161e-04,-7.801765203475952148e-01,1.484023034572601318e-01,-9.619214106351137161e-04,7.820153841748833656e-04,6.010692119598388672e-01,-1.065375581383705139e-01,-7.801765203475952148e-01,6.010692119598388672e-01,1.264356738281250000e+04,-2.633060058593750000e+03,1.484023034572601318e-01,-1.065375581383705139e-01,-2.633060058593750000e+03,2.049194335937500000e+03
3.796604694798588753e-03,1.641555070877075195e+00,1.142703413963317871e+00,4.198397827148437500e+02,2.585693359375000000e+02,1.013937056995928288e-03,-6.623159861192107201e-04,1.676444411277770996e+00,-9.989455938339233398e-01,-6.623159861192107201e-04,4.504249664023518562e-04,-1.520653009414672852e+00,3.551260232925415039e-01,1.676444411277770996e+00,-1.520653009414672852e+00,1.466403808593750000e+04,7.918884765625000000e+03,-9.989455938339233398e-01,3.551260232925415039e-01,7.918884765625000000e+03,1.167826855468750000e+04
1.323066558688879013e-02,1.590529322624206543e+00,1.176748275756835938e+00,1.886446990966796875e+02,3.789923095703125000e+01,1.790429465472698212e-03,-1.228247070685029030e-03,8.320756554603576660e-01,1.170679777860641479e-01,-1.228247070685029030e-03,8.573578670620918274e-04,-4.897026419639587402e-01,-9.182861447334289551e-02,8.320756554603576660e-01,-4.897026419639587402e-01,5.932097656250000000e+03,-1.689124908447265625e+02,1.170679777860641479e-01,-9.182861447334289551e-02,-1.689124908447265625e+02,2.463097229003906250e+02
1.008869847282767296e-03,1.477723598480224609e+00,1.264209032058715820e+00,1.306205078125000000e+03,1.589383056640625000e+03,7.514596800319850445e-04,-7.050822023302316666e-04,-2.341569423675537109e+00,6.918501853942871094e-01,-7.050822023302316666e-04,6.811976782046258450e-04,2.456803083419799805e+00,3.692563772201538086e-01,-2.341569423675537109e+00,2.456803083419799805e+00,1.080752929687500000e+04,1.197362109375000000e+04,6.918501853942871094e-01,3.692563772201538086e-01,1.197362109375000000e+04,5.923492578125000000e+04
4.361369460821151733e-02,1.561274528503417969e+00,1.197303652763366699e+00,5.518846435546875000e+02,4.435118103027343750e+02,1.631507417187094688e-03,-1.174934557639062405e-03,-3.211798191070556641e+00,-1.452713012695312500e+00,-1.174934557639062405e-03,8.559377747587859631e-04,2.246277093887329102e+00,1.041421175003051758e+00,-3.211798191070556641e+00,2.246277093887329102e+00,4.754617578125000000e+04,-2.697456640625000000e+04,-1.452713012695312500e+00,1.041421175003051758e+00,-2.697456640625000000e+04,4.483193750000000000e+04
